angle (°) - amplitude	amplitude (V) - amplitude	
97.8125	2.20071	
97.81	2.21527	
97.8075	2.20993	
97.805	2.20379	
97.8025	2.19764	
97.8	2.21366	
97.7975	2.20929	
97.795	2.22401	
97.7925	2.24003	
97.79	2.25459	
97.7875	2.24941	
97.785	2.26316	
97.7825	2.27789	
97.78	2.2486	
97.7775	2.22061	
97.775	2.2156	
97.7725	2.20815	
97.77	2.2245	
97.7675	2.21835	
97.765	2.19198	
97.7625	2.20751	
97.76	2.20184	
97.7575	2.19699	
97.755	2.21155	
97.7525	2.22806	
97.75	2.30863	
97.7475	2.36509	
97.745	2.37771	
97.7425	2.45602	
97.74	2.55116	
97.7375	2.58076	
97.735	2.67557	
97.7325	2.68188	
97.73	2.68658	
97.7275	2.66959	
97.725	2.65438	
97.7225	2.65907	
97.72	2.64354	
97.7175	2.62849	
97.715	2.61231	
97.7125	2.62008	
97.71	2.60568	
97.7075	2.61312	
97.705	2.63966	
97.7025	2.62477	
97.7	2.60956	
97.6975	2.595	
97.695	2.58044	
97.6925	2.54549	
97.69	2.5531	
97.6875	2.58271	
97.685	2.56863	
97.6825	2.53304	
97.68	2.54226	
97.6775	2.52915	
97.675	2.51637	
97.6725	2.50407	
97.67	2.51297	
97.6675	2.50019	
97.665	2.48951	
97.6625	2.47576	
97.66	2.46427	
97.6575	2.47463	
97.655	2.46363	
97.6525	2.4523	
97.65	2.44146	
97.6475	2.43046	
97.645	2.59419	
97.6425	2.66571	
97.64	2.6924	
97.6375	2.69806	
97.635	2.70357	
97.6325	2.7081	
97.63	2.69208	
97.6275	2.69596	
97.625	2.65875	
97.6225	2.66344	
97.62	2.6691	
97.6175	2.6746	
97.615	2.68043	
97.6125	2.72945	
97.61	2.77718	
97.6075	2.8021	
97.605	2.80485	
97.6025	2.78559	
97.6	2.78883	
97.5975	2.79142	
97.595	2.79482	
97.5925	2.77573	
97.59	2.80048	
97.5875	2.80339	
97.585	2.78414	
97.5825	2.78721	
97.58	2.76958	
97.5775	2.75032	
97.575	2.73269	
97.5725	2.71521	
97.57	2.69855	
97.5675	2.72508	
97.565	2.75146	
97.5625	2.7335	
97.56	2.71602	
97.5575	2.6992	
97.555	2.68205	
97.5525	2.66635	
97.55	2.65098	
97.5475	2.67735	
97.545	2.70389	
97.5425	2.73172	
97.54	2.7568	
97.5375	2.76052	
97.535	2.74256	
97.5325	2.70292	
97.53	2.70777	
97.5275	2.67056	
97.525	2.65406	
97.5225	2.63852	
97.52	2.62234	
97.5175	2.60649	
97.515	2.5929	
97.5125	2.60002	
97.51	2.58481	
97.5075	2.57122	
97.505	2.5573	
97.5025	2.54388	
97.5	2.59613	
97.4975	2.60244	
97.495	2.58982	
97.4925	2.57462	
97.49	2.60325	
97.4875	2.61167	
97.485	2.63869	
97.4825	2.62315	
97.48	2.60875	
97.4775	2.57316	
97.475	2.57996	
97.4725	2.56491	
97.47	2.55229	
97.4675	2.53902	
97.465	2.59112	
97.4625	2.59824	
97.46	2.60568	
97.4575	2.6128	
97.455	2.62121	
97.4525	2.66959	
97.45	2.6746	
97.4475	2.63788	
97.445	2.6437	
97.4425	2.62849	
97.44	2.61328	
97.4375	2.61976	
97.435	2.64694	
97.4325	2.63157	
97.43	2.6382	
97.4275	2.64467	
97.425	2.6293	
97.4225	2.63545	
97.42	2.62121	
97.4175	2.606	
97.415	2.58982	
97.4125	2.57591	
97.41	2.53999	
97.4075	2.56992	
97.405	2.59921	
97.4025	2.62801	
97.4	2.61345	
97.3975	2.5984	
97.395	2.60568	
97.3925	2.57009	
97.39	2.57656	
97.3875	2.56297	
97.385	2.5497	
97.3825	2.53579	
97.38	2.52268	
97.3775	2.53126	
97.375	2.51896	
97.3725	2.50602	
97.37	2.49404	
97.3675	2.4811	
97.365	2.46961	
97.3625	2.45812	
97.36	2.44793	
97.3575	2.4578	
97.355	2.44648	
97.3525	2.41363	
97.35	2.40392	
97.3475	2.37302	
97.345	2.36283	
97.3425	2.35393	
97.34	2.32351	
97.3375	2.31413	
97.335	2.30636	
97.3325	2.32125	
97.33	2.3761	
97.3275	2.38823	
97.325	2.37917	
97.3225	2.41185	
97.32	2.40279	
97.3175	2.41428	
97.315	2.40409	
97.3125	2.41412	
97.31	2.40392	
97.3075	2.39519	
97.305	2.38419	
97.3025	2.39519	
97.3	2.42852	
97.2975	2.46282	
97.295	2.4502	
97.2925	2.41816	
97.29	2.47155	
97.2875	2.46055	
97.285	2.47123	
97.2825	2.43725	
97.28	2.42609	
97.2775	2.39519	
97.275	2.40635	
97.2725	2.37415	
97.27	2.38548	
97.2675	2.35539	
97.265	2.34681	
97.2625	2.3583	
97.26	2.34972	
97.2575	2.34115	
97.255	2.33225	
97.2525	2.324	
97.25	2.31575	
97.2475	2.32869	
97.245	2.32076	
97.2425	2.33468	
97.24	2.30636	
97.2375	2.31801	
97.235	2.30992	
97.2325	2.32416	
97.23	2.33807	
97.2275	2.37189	
97.225	2.3405	
97.2225	2.3117	
97.22	2.30264	
97.2175	2.31591	
97.215	2.30766	
97.2125	2.27934	
97.21	2.27125	
97.2075	2.26446	
97.205	2.25718	
97.2025	2.27222	
97.2	2.24343	
97.1975	2.28064	
97.195	2.31607	
97.1925	2.30733	
97.19	2.38645	
97.1875	2.37674	
97.185	2.3659	
97.1825	2.35652	
97.18	2.32659	
97.1775	2.3185	
97.175	2.31057	
97.1725	2.30151	
97.17	2.29439	
97.1675	2.28776	
97.165	2.27902	
97.1625	2.29342	
97.16	2.32901	
97.1575	2.34228	
97.155	2.33387	
97.1525	2.34762	
97.15	2.31639	
97.1475	2.28711	
97.145	2.25799	
97.1425	2.25087	
97.14	2.24504	
97.1375	2.23744	
97.135	2.2541	
97.1325	2.24747	
97.13	2.24084	
97.1275	2.21349	
97.125	2.20605	
97.1225	2.17903	
97.12	2.17402	
97.1175	2.169	
97.115	2.16431	
97.1125	2.15913	
97.11	2.15444	
97.1075	2.12807	
97.105	2.12418	
97.1025	2.12111	
97.1	2.11755	
97.0975	2.11334	
97.095	2.10995	
97.0925	2.10622	
97.09	2.10315	
97.0875	2.10137	
97.085	2.09668	
97.0825	2.1148	
97.08	2.11059	
97.0775	2.108	
97.075	2.08341	
97.0725	2.07969	
