angle (°) - amplitude	amplitude (V) - amplitude	
31.6975	2.8309	
31.7	2.81132	
31.7025	2.81407	
31.705	2.83769	
31.7075	2.85937	
31.71	2.86034	
31.7125	2.84028	
31.715	2.86277	
31.7175	2.84303	
31.72	2.84433	
31.7225	2.84449	
31.725	2.82588	
31.7275	2.82588	
31.73	2.82863	
31.7325	2.80744	
31.735	2.80954	
31.7375	2.81229	
31.74	2.81407	
31.7425	2.79546	
31.745	2.7966	
31.7475	2.94965	
31.75	3.05676	
31.7525	3.09672	
31.755	3.1561	
31.7575	3.15028	
31.76	3.12423	
31.7625	3.14041	
31.765	3.11306	
31.7675	3.10951	
31.77	3.10352	
31.7725	3.07666	
31.775	3.05126	
31.7775	3.09203	
31.78	3.15238	
31.7825	3.14656	
31.785	3.11937	
31.7875	3.13636	
31.79	3.10934	
31.7925	3.08459	
31.795	3.07876	
31.7975	3.05288	
31.8	3.05029	
31.8025	3.02667	
31.805	3.02181	
31.8075	2.99754	
31.81	2.99593	
31.8125	2.99366	
31.815	2.99156	
31.8175	2.94771	
31.82	2.94561	
31.8225	2.96616	
31.825	2.98622	
31.8275	2.98573	
31.83	3.00482	
31.8325	3.02424	
31.835	3.02246	
31.8375	3.01955	
31.84	3.03751	
31.8425	3.03443	
31.845	3.03168	
31.8475	3.02877	
31.85	3.00434	
31.8525	3.00175	
31.855	2.9791	
31.8575	2.97586	
31.86	2.99609	
31.8625	2.99479	
31.865	2.99237	
31.8675	3.01178	
31.87	2.9867	
31.8725	3.00725	
31.875	3.02602	
31.8775	2.97991	
31.88	2.97829	
31.8825	2.95499	
31.885	2.95483	
31.8875	2.95337	
31.89	2.93137	
31.8925	2.95192	
31.895	2.95111	
31.8975	2.94965	
31.9	2.92668	
31.9025	2.90484	
31.905	2.90581	
31.9075	2.92684	
31.91	2.92571	
31.9125	2.92538	
31.915	2.94658	
31.9175	2.94545	
31.92	2.94431	
31.9225	2.94367	
31.925	2.94237	
31.9275	2.94221	
31.93	2.91891	
31.9325	2.94011	
31.935	2.93978	
31.9375	2.95968	
31.94	2.93719	
31.9425	2.93671	
31.945	2.93558	
31.9475	2.93542	
31.95	2.9139	
31.9525	2.91212	
31.955	2.86989	
31.9575	2.86973	
31.96	2.84869	
31.9625	2.80695	
31.965	2.85209	
31.9675	2.85339	
31.97	2.83413	
31.9725	2.8131	
31.975	2.8152	
31.9775	2.79627	
31.98	2.79773	
31.9825	2.80177	
31.985	2.80242	
31.9875	2.78301	
31.99	2.78576	
31.9925	2.78867	
31.995	2.79077	
31.9975	2.79417	
32	2.79595	
32.0025	2.81909	
32.005	2.82151	
32.0075	2.84497	
32.01	2.86762	
32.0125	2.86827	
32.015	2.89076	
32.0175	2.87021	
32.02	2.84918	
32.0225	2.8707	
32.025	2.89286	
32.0275	2.89303	
32.03	2.89367	
32.0325	2.87232	
32.035	2.91471	
32.0375	2.91487	
32.04	2.91487	
32.0425	2.93558	
32.045	2.93509	
32.0475	2.93347	
32.05	2.93266	
